percentage,time,iters,time per iterations,inertia
0.1,320.82,1,320.82,2721450.255467
0.2,331.15,1,331.15,5384670.520816
0.3,351.93,1,351.93,8080534.443051
0.4,366.42,1,366.42,10745028.659149
0.5,374.24,1,374.24,13329174.422080
0.6,395.92,1,395.92,15998837.783028
0.7,424.54,1,424.54,18667402.181452
0.8,421.84,1,421.84,21331694.304723
0.9,439.82,1,439.82,23970348.736526
1.0,467.76,1,467.76,26600328.999999
