percentage,time,iters,time per iterations,inertia
0.1,100433.00,10000,10.04,878771.211131
0.2,566.10,31,18.26,1747007.037195
0.3,562.91,29,19.41,2617287.862552
0.4,559.90,26,21.53,3484229.350022
0.5,603.52,28,21.55,4322258.456706
0.6,647.55,29,22.33,5195166.314399
0.7,802.13,39,20.57,6079244.878676
0.8,971.67,42,23.13,6944833.723599
0.9,862.46,33,26.14,7808800.244858
1.0,960.64,37,25.96,8653438.290721
